         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       73    0.000    0.000    0.001    0.000 config.py:521(register_option)
     2853    0.000    0.000    0.000    0.000 typing.py:1442(<genexpr>)
       62    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
      622    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       98    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
        8    0.000    0.000    0.004    0.001 dataclasses.py:929(_process_class)
      644    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.133    0.044 _internal.py:56(clone_module)
      142    0.000    0.000    0.001    0.000 typing.py:1271(_generic_init_subclass)
     1615    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
     1102    0.000    0.000    0.000    0.000 enum.py:1157(__new__)
     1342    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       94    0.000    0.000    0.003    0.000 _array_api.py:744(_make_capabilities_note)
       98    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
   156/59    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      388    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      775    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      202    0.000    0.000    0.000    0.000 _decorators.py:527(decorator)
     1194    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      225    0.000    0.000    0.000    0.000 inspect.py:768(unwrap)
      127    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
     1348    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      847    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      775    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      784    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
   105/33    0.000    0.000    0.006    0.000 typing.py:1467(__getitem__)
      359    0.000    0.000    0.000    0.000 typing.py:2711(overload)
       94    0.000    0.000    0.042    0.000 _docscrape.py:140(__init__)
       98    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
     2785    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
   105/33    0.000    0.000    0.004    0.000 typing.py:1498(_determine_new_args)
      166    0.000    0.000    0.001    0.000 enum.py:1060(_add_member_)
       61    0.000    0.000    0.004    0.000 _internal.py:32(inner)
      135    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
