tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1571    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
     1124    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      365    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
     1755    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      321    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      600    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
      441    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:420(__exit__)
       86    0.000    0.000    0.003    0.000 auxfuncs.py:627(l_and)
        1    0.000    0.000    0.179    0.179 _support_alternative_backends.py:1(<module>)
      434    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      392    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        3    0.000    0.000    0.108    0.036 _internal.py:56(clone_module)
  147/124    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
     2375    0.000    0.000    0.000    0.000 typing.py:1442(<genexpr>)
      365    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
        4    0.000    0.000    0.002    0.001 dataclasses.py:929(_process_class)
      230    0.000    0.000    0.001    0.000 typing.py:1322(__init__)
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      701    0.000    0.000    0.000    0.000 enum.py:1157(__new__)
   114/52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1231    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        6    0.000    0.000    0.001    0.000 __init__.py:775(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      744    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      132    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      438    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1038    0.000    0.000    0.000    0.000 _docscrape.py:403(<genexpr>)
      376    0.000    0.000    0.000    0.000 _docscrape.py:491(_str_section)
       91    0.000    0.000    0.000    0.000 typing.py:1271(_generic_init_subclass)
        8    0.000    0.000    0.000    0.000 _multiufuncs.py:25(__init__)
      401    0.000    0.000    0.002    0.000 _parser.py:97(closegroup)
       83    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      126    0.000    0.000    0.000    0.000 inspect.py:177(get_annotations)
     1536    0.000    0.000    0.000    0.000 <frozen codecs>:334(getstate)
     1617    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
      514    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      539    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       55    0.000    0.000    0.004    0.000 <frozen zipimport>:68(__init__)
      822    0.000    0.000    0.000    0.000 _docscrape.py:156(__setitem__)
      175    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
     2199    0.000    0.000    0.000    0.000 copy.py:173(_deepcopy_atomic)
      383    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      739    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      135    0.000    0.000    0.000    0.000 _internal.py:853(_ufunc_doc_signature_formatter)
       81    0.000    0.000    0.016    0.000 CodonTable.py:202(__init__)
      910    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       61    0.000    0.000    0.002    0.000 _internal.py:32(inner)
        1    0.000    0.000    0.041    0.041 crackfortran.py:1(<module>)
        1    0.000    0.000    0.018    0.018 CodonTable.py:1(<module>)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       57    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
      697    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       53    0.000    0.000    0.010    0.000 _add_newdocs.py:3381(_array_method_doc)
        1    0.000    0.000    0.004    0.004 rules.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:805(sequence)
      743    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.855    0.214 Scanner.py:500(parse_records)
       91    0.000    0.000    0.050    0.001 _support_alternative_backends.py:86(wrapper)
      799    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      389    0.000    0.000    0.052    0.000 __init__.py:287(compile)
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        4    0.000    0.000    0.000    0.000 Scanner.py:76(find_start)
     1086    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      338    0.000    0.000    0.000    0.000 _docscrape.py:16(strip_blank_lines)
     1766    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
      137    0.000    0.000    0.000    0.000 <frozen _collections_abc>:473(__new__)
      638    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
      203    0.000    0.000    0.000    0.000 _docscrape.py:303(parse_item_name)
        3    0.000    0.000    0.000    0.000 Scanner.py:113(parse_header)
      550    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      438    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      151    0.000    0.000    0.000    0.000 inspect.py:768(unwrap)
        1    0.000    0.000    0.032    0.032 _add_newdocs.py:1(<module>)
      282    0.000    0.000    0.000    0.000 _docscrape.py:28(__init__)
      338    0.000    0.000    0.000    0.000 _docscrape.py:49(read)
        4    0.000    0.000    0.855    0.214 Scanner.py:483(parse)
      508    0.000    0.000    0.000    0.000 _docscrape.py:454(_str_header)
      476    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       82    0.000    0.000    0.000    0.000 enum.py:1060(_add_member_)
      550    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
  547/469    0.000    0.000    0.000    0.000 typing.py:1458(__hash__)
      493    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
      503    0.000    0.000    0.000    0.000 _docscrape.py:457(_str_indent)
       13    0.000    0.000    0.003    0.000 core.py:8743(_convert2ma)
      620    0.000    0.000    0.000    0.000 inspect.py:3103(<genexpr>)
       92    0.000    0.000    0.001    0.000 _array_api.py:784(xp_capabilities)
      719    0.000    0.000    0.000    0.000 typing.py:1452(__eq__)
